Taxa,Identification_notes,Genus,Family,Taxon_Group,Identified,Morphology,Secondary_Morphology,Life_Span,Max_size,MS_unit,MS_cat,Growth_rate,GR_unit,GR_cat,Zooxanthellate,Calcification,Energetic_Resource,Feeding_Mode,Observation_notes
Sargassum pacificum,"Bory, 1828; previously Sargassum mangarevense (Grunow) Setchell, 1926",Sargassum,Sargassaceae,Phaeophyta,yes,Branched Globular,Branched,Annual,20,"cm, height",10-20 cm,,,,Non-zooxanthellate,Non-Calcified,Autotroph,Autotrophy,
Turbinaria ornata,"(Turner) J.Adardh, 1848",Turbinaria,Sargassaceae,Phaeophyta,yes,Branched Globular,Branched,,17,"cm, height",10-20 cm,,,,Non-zooxanthellate,Non-Calcified,Autotroph,Autotrophy,
Amansia rhodantha,"(Harvey) J.Agardh, 1841",Amansia,Rhodomelaceae,Rhodophyta,yes,Branched Globular,Branched,,10,"cm, diameter",< 10cm,,,,Non-zooxanthellate,Non-Calcified,Autotroph,Autotrophy,
Amphiroa fragilissima,"(Linnaeus) J.V.Lamouroux, 1816",Amphiroa,Corallinaceae,Rhodophyta,yes,Branched Globular,Branched,Short Perennial,5,"cm, height",< 10cm,,,,Non-zooxanthellate,Articulated Calcification,Autotroph,Autotrophy,
Crustose Corallines,,Crustose Corallines,NA,CCA,yes,Encrusting,Encrusting,,,,10-20 cm,,,,Non-zooxanthellate,Articulated Calcification,Autotroph,Autotrophy,assumed max size category estimated from field survey
Galaxaura divaricata,"(Linnaeus) Huisman & R.A.Townsend, 1993, previously Galaxaura divaricata",Galaxaura,Galaxauraceae,Rhodophyta,yes,Branched Globular,Branched,Perennial,8,"cm, height",< 10cm,,,,Non-zooxanthellate,Non-Articulated Calcification,Autotroph,Autotrophy,
Galaxaura rugosa,"(J.Ellis & Solander) J.V.Lamouroux, 1816",Galaxaura,Galaxauraceae,Rhodophyta,yes,Branched Globular,Branched,Perennial,5,"cm, height",< 10cm,,,,Non-zooxanthellate,Non-Articulated Calcification,Autotroph,Autotrophy,
Gracilaria verrucosa,"(Hudson) Papenfuss, 1950; now Gracilariopsis longissima (S.G.Gmelin) Steentoft, L.M.Irvine & Famham, 1995",Gracilaria,Gracilariaceae,Rhodophyta,yes,Branched Globular,Branched,Perennial,20,"cm, height",10-20 cm,,,,Non-zooxanthellate,Non-Calcified,Autotroph,Autotrophy,
Hypnea pannosa,"J.Agardh, 1847",Hypnea,Cystocloniaceae,Rhodophyta,yes,Branched Globular,Branched,Annual,8,"cm, height",< 10cm,,,,Non-zooxanthellate,Non-Calcified,Autotroph,Autotrophy,
Sand,,,NA,Sand,yes,NA,,,,,,,,,NA,NA,NA,NA,
Grey Sponge,,Grey Sponge,NA,Demospongiae,yes,Encrusting,Encrusting,,,,21-50 cm,,,,unk,Non-Calcified,unk,Active Filter-feeding,assumed max size category estimated from field survey
Lendenfeldia chondrodes,"de Laubenfels, 1954; Freeman and Easson 2016; authors indicate may be phototrophic",Lendenfeldia,Thorectidae,Demospongiae,yes,Encrusting Digitate,Encrusting,,,,21-50 cm,,,,Zooxanthellate,Non-Calcified,Photo-autotroph,Active Filter-feeding,assumed max size category estimated from field survey
Purple Sponge,Freeman and Easson 2016; Haliclona sp. Authors indicate may like artificial substrate or high nutrient environments,Purple Sponge,Haliclona,Demospongiae,yes,Spherical,Spherical,,,,< 10cm,,,,unk,Non-Calcified,unk,Active Filter-feeding,assumed max size category estimated from field survey
Verongida sp.,Freeman and Easson 2016,Verongida,NA,Demospongiae,yes,Encrusting,Encrusting,,,,10-20 cm,,,,unk,Non-Calcified,unk,Active Filter-feeding,assumed max size category estimated from field survey
Turf,,Turf,NA,Turf,yes,Filamentous,Filamentous,Annual,,,< 10cm,,,,Non-zooxanthellate,Non-Calcified,Autotroph,Autotrophy,assumed max size category estimated from field survey
Cyphastrea microphthalma,"Lamarck, 1816",Cyphastrea,Merulinidae,Coral,yes,Encrusting,Encrusting,Perennial,,,,,,,Zooxanthellate,Hermatypic,Photo-autotroph,Passive Filter-feeding,
Leptoseris mycetoseroides,"Wells, 1954",Leptoseris,Agaricidae,Coral,yes,Encrusting Digitate,Encrusting,Perennial,,,,,,,Zooxanthellate,Hermatypic,Photo-autotroph,Passive Filter-feeding,
Montipora verrilli,"Vaughan, 1907",Montipora,Acroporidae,Coral,yes,Encrusting,Encrusting,Perennial,,,,17.2,mm yr-1,,Zooxanthellate,Hermatypic,Photo-autotroph,Passive Filter-feeding,
Pavona chiriquiensis,"Glynn, Mate & Stemann, 2001",Pavona,Agaricidae,Coral,yes,Encrusting,Encrusting,Perennial,,,,,,,Zooxanthellate,Hermatypic,Photo-autotroph,Passive Filter-feeding,
Goniastrea stelligera,"Dana, 1846",Goniastrea,Merulinidae,Coral,yes,Massive,Massive,Perennial,,,,10,mm yr-1,,Zooxanthellate,Hermatypic,Photo-autotroph,Passive Filter-feeding,
Acropora,,Acropora,Acroporidae,Coral,yes,Branched,Branched,Perennial,,,,,,,Zooxanthellate,Hermatypic,Photo-autotroph,Passive Filter-feeding,
Stylocoeniella armata,"Ehrenberg, 1834",Stylocoeniella,Astrocoeniidae,Coral,yes,Encrusting,Encrusting,Perennial,,,,,,,Zooxanthellate,Hermatypic,Photo-autotroph,Passive Filter-feeding,
