Location,CowTagID,Season,lat,lon,Salinity,Temperature,TA,pH,Phosphate_umolL,Silicate_umolL,NN_umolL,Ammonia_umolL,M_C,HIX,VisibleHumidic_Like,Tryptophan_Like,Tyrosine_Like,del15N,C_N,N_percent
Cabral,C9,Dry,-17.51639103,-149.913111,36.25,27.435000000000002,2333.65193125,8.025489518595148,0.20500000000000002,3.1125,0.475,0.1675,1.28095611875,0.9653455289999999,0.0091154125,0.03608163325,0.06802633075,NA,NA,NA
Cabral,C9,Wet,-17.51639103,-149.913111,36.5025,28.240000000000002,2319.19,7.973859745244074,0.18185717075,3.25986654575,0.5986723632500001,0.330036484,NA,NA,NA,NA,NA,NA,NA,NA
Cabral,C10,Dry,-17.51588602,-149.912912,36.17,27.615000000000002,2317.430655,7.984584478480384,0.21000000000000002,4.6325,0.385,0.2825,1.26552133675,1.3721280835,0.01463513425,0.0409893555,0.06622994725,NA,NA,NA
Cabral,C10,Wet,-17.51588602,-149.912912,36.43,29.3675,2253.09362625,7.955979168657326,0.163405139,4.704446316,0.43313707125,0.52288377225,NA,NA,NA,NA,NA,NA,NA,NA
Cabral,C11,Dry,-17.51598098,-149.913194,36.2425,27.84,2328.9314945,8.008159664103498,0.20750000000000002,2.775,0.5449999999999999,0.1525,1.37456714425,0.8705613962500001,0.01038163,0.0448967445,0.087560137,NA,NA,NA
Cabral,C11,Wet,-17.51598098,-149.913194,36.52,29.5325,2269.6349999999998,7.949040518152421,0.212743278,3.08155178375,0.9068800535,0.475850017,NA,NA,NA,NA,NA,NA,NA,NA
Cabral,C12,Dry,-17.51595701,-149.913303,36.26,27.373333333333335,2356.501618,8.011696278142322,0.205,3.1525000000000003,0.6375,0.1675,1.35721402775,0.8852442322499999,0.0098750255,0.04220774,0.08469936775,NA,NA,NA
Cabral,C12,Wet,-17.51595701,-149.913303,36.57,28.43,2289.074017,7.9858360123352305,0.2236870845,1.9843050875000001,1.1453294375,0.42668240475,NA,NA,NA,NA,NA,NA,NA,NA
Cabral,C13,Dry,-17.51557102,-149.913136,35.974999999999994,27.2825,2285.8737675,7.954901576422725,0.235,5.4825,0.6275,0.205,1.354013085,1.38269494475,0.020416964,0.058070692,0.08654555725,NA,NA,NA
Cabral,C13,Wet,-17.51557102,-149.913136,36.4475,29.8675,2268.3816775,7.891384930874748,0.1880571445,4.3845599035,0.85356272725,0.503382694,NA,NA,NA,NA,NA,NA,NA,NA
Cabral,C14,Dry,-17.51652597,-149.913031,36.195,27.265,2298.120148,7.98325728930354,0.21500000000000002,2.125,0.495,0.30500000000000005,1.640103678,0.907475695,0.011397352999999999,0.055737954,0.123874444,NA,NA,NA
Cabral,C14,Wet,-17.51652597,-149.913031,36.47,29.56,2278.0950000000003,7.958344444791736,0.191117315,2.7220005182500002,0.601276438,0.457593688,NA,NA,NA,NA,NA,NA,NA,NA
Cabral,C15,Dry,-17.51721597,-149.913056,36.235,27.115000000000002,2300.237799,7.999877112249198,0.21000000000000002,2.25,0.615,0.22,1.596220379,0.9679851915,0.009810649000000001,0.0424892505,0.10413584000000001,NA,NA,NA
Cabral,C15,Wet,-17.51721597,-149.913056,36.625,29.9375,2301.05113325,7.968193990927677,0.2145520775,1.50930076875,0.8909025105,0.39854217125,NA,NA,NA,NA,NA,NA,NA,NA
Cabral,C16,Dry,-17.51723299,-149.912976,36.0575,27.35,2315.72179425,7.9784277849983845,0.195,4.3375,0.395,0.3225,1.42315863475,1.295208555,0.01569621025,0.03964970625,0.08015581675,NA,NA,NA
Cabral,C16,Wet,-17.51723299,-149.912976,36.635,28.785,2276.0325000000003,7.966849411321896,0.19610004575,2.2158309579999997,0.633165319,0.41450164024999997,NA,NA,NA,NA,NA,NA,NA,NA
