Location,CowTagID,Season,lat,lon,adj_CT_depth_cm,Salinity,Temperature,TA,pH,Phosphate_umolL,Silicate_umolL,NN_umolL,Ammonia_umolL,M_C,HIX,VisibleHumidic_Like,Tryptophan_Like,Tyrosine_Like,del15N,C_N,N_percent
Varari,V14,Wet,-17.54039696,-149.899396,61.8,0.0011484419149067023,0.014238415251764718,0.006278748078681894,0.006463368975985726,0.055611899553772694,0.20999896279266653,0.24727820592088381,0.08650194643266797,NA,NA,NA,NA,NA,4.7,25.52012383900929,1.2139206253758266
Varari,V15,Dry,-17.54014299,-149.900183,43.50000000000001,0.003993392537686044,0.020929290643274073,0.012576023694090126,0.004698611190238851,0.1832491389163405,1.2408580688286552,0.5438205041562342,0.24274691503079607,0.296937485819563,0.3680437023113069,0.12291490272399781,0.7297857540188787,1.2470858624378485,4.7,28.49248120300752,1.120094323732525
Varari,V15,Wet,-17.54014299,-149.900183,43.50000000000001,0.0027136031211551417,0.01324254801179489,0.005430609251748703,0.005933978340637073,0.08484084789211134,0.772234149528157,0.51947681174026,1.2054253008992388,NA,NA,NA,NA,NA,4.7,28.49248120300752,1.120094323732525
Varari,V16,Dry,-17.54029797,-149.900492,75.7,0.0022977252572463345,0.019773815708611864,0.008558439357541055,0.002958537712884415,0.04878048780487803,0.2932654089909609,0.20360946887818707,0.5893200469947726,0.35331964724095083,0.43235186709573226,0.3618538596539712,0.74774705555814,1.129940798947439,3.6,35.772532188841204,0.930734201485979
Varari,V16,Wet,-17.54029797,-149.900492,75.7,0.0010314686024005702,0.011910924913452301,0.0040368765585537,0.005544187957237637,0.10518529297458322,0.2681313015180378,0.22583282647937147,0.32626429990262934,NA,NA,NA,NA,NA,3.6,35.772532188841204,0.930734201485979
Varari,V17,Dry,-17.54031901,-149.899572,69.2,0.01199832735792775,0.022430916315189703,0.008930293778926308,0.003004972943000613,0.16611656238360525,0.8232566676337614,0.4352167678077583,0.13550013022350507,0.3434511578012972,0.4063144582151508,0.16250743054150663,0.7401483187769744,1.156980008869982,4.4,29.85409252669039,1.0746930814242552
Varari,V18,Dry,-17.54019697,-149.899906,31.500000000000007,0.0052612975224587966,0.020624812154994798,0.01105961590078255,0.001975068262959246,0.19543398999264291,1.168301181915863,0.5733203156666398,0.3481553119113956,0.2770896763961975,0.4344933837513153,0.22574873752034721,0.7456629165571274,1.1022546382176226,4.6,30.38783269961977,1.0523788563883
Varari,V18,Wet,-17.54019697,-149.899906,31.500000000000007,0.008011889167475816,0.006692647136707362,0.011007758402474931,0.0064756224519095145,0.17904429414269712,1.1912069366487537,0.7465236102588101,1.620375903255573,NA,NA,NA,NA,NA,4.6,30.38783269961977,1.0523788563883
Varari,V19,Dry,-17.54050802,-149.89978,82.9,0.004173565255139197,0.019716357073384067,0.010764565441062074,0.0031475588058303,0.07228915662650601,0.24358360531463985,0.28404233183689054,0.5505828438658037,0.19331140741949426,0.26519751612832226,0.2782594522326421,0.7850434171046449,1.1307864854610339,3.9,30.94736842105263,1.0290809099241731
Varari,V19,Wet,-17.54050802,-149.89978,82.9,0.001364866965786805,0.01115469072100989,0.004534551479525496,0.005493049733371275,0.20762666277908245,0.1997303026012873,0.922973274274469,1.0349025460610024,NA,NA,NA,NA,NA,3.9,30.94736842105263,1.0290809099241731
